"etternavn"	"Personer 2021"
"Bjørkum"	206
"Bjørkås"	340
"Bjørlo"	319
"Bjørn"	321
"Bjørndal"	949
"Bjørndalen"	325
"Bjørnerud"	493
"Bjørnes"	.
"Bjørnestad"	486
"Bjørnevik"	372
"Bjørnsen"	1464
"Bjørnstad"	3084
"Bjørnø"	250
"Bjørnøy"	224
"Bjørnå"	309
"Bjørseth"	362
"Bjørsvik"	547
"Bjørvik"	504
"Blakstad"	400
"Blindheim"	1038
"Blix"	703
"Blom"	989
"Blomberg"	316
"Blomvik"	.
"Blystad"	304
"Bodin"	227
"Boge"	597
"Bogen"	636
"Bogstrand"	202
"Bolme"	427
"Bolstad"	1616
"Bondevik"	203
"Bones"	241
"Bonsaksen"	230
"Borch"	375
"Borchgrevink"	287
"Bore"	640
"Borg"	739
"Borgan"	279
"Borge"	2169
"Borgen"	2037
"Borgersen"	1096
"Borlaug"	453
"Borsheim"	227
"Bostad"	313
"Botnen"	435
"Botten"	482
"Boye"	321
"Braastad"	209
"Braaten"	819
"Braathen"	1327
"Bragstad"	321
"Brakstad"	463
"Brandal"	784
"Brandt"	769
"Brandtzæg"	399
"Brandvik"	233
"Braseth"	330
"Brastad"	227
"Brataas"	210
"Bratberg"	480
"Bratland"	949
"Bratli"	542
"Bratlie"	727
"Bratsberg"	299
"Brattli"	304
"Brattås"	254
"Bratvold"	246
"Braut"	444
"Bredal"	270
"Bredesen"	1438
"Breen"	324
"Breiland"	222
"Breistein"	279
"Breivik"	2620
"Brekka"	240
"Brekke"	3957
"Brekken"	566
"Bremnes"	537
"Bremseth"	293
"Brenden"	1111
"Brenna"	964
"Brenne"	717
"Brevig"	230
"Brevik"	1682
"Bringedal"	258
"Brobakken"	280
"Broch"	227
"Brodahl"	277
"Brodersen"	201
"Broen"	303
"Brovold"	573
"Brown"	418
"Brox"	468
"Bru"	550
"Bruaset"	212
"Brubakken"	210
"Brudevoll"	215
"Brudvik"	222
"Bruheim"	261
"Bruland"	658
"Brun"	1007
"Brunborg"	255
"Brunes"	308
"Brunstad"	369
"Brunvoll"	286
"Brustad"	800
"Bruun"	1000
"Bruvik"	598
"Bruvoll"	306
"Bryhn"	380
"Bryn"	480
"Bryne"	297
"Brynildsen"	570
"Brynjulfsen"	309
"Brække"	219
"Brækken"	215
"Brænd"	207
"Brænden"	241
"Brøndbo"	330
