"etternavn"	"Personer 2021"
"Høgås"	241
"Høiberg"	256
"Høiby"	475
"Høie"	700
"Høiland"	748
"Høines"	338
"Høiseth"	333
"Høistad"	.
"Høivik"	300
"Hølland"	288
"Høvik"	831
"Høydahl"	246
"Høydal"	576
"Høye"	296
"Høyem"	462
"Høyer"	370
"Høyland"	1324
"Høyvik"	507
"Hågensen"	976
"Håheim"	467
"Håkonsen"	1370
"Håland"	3107
"Hånes"	205
"Håpnes"	225
"Hårstad"	521
"Håvik"	594
"Ibrahim"	2444
"Iden"	248
"Idland"	569
"Idris"	265
"Idsø"	246
"Idsøe"	282
"Igland"	444
"Ihle"	285
"Ihlen"	205
"Ilyas"	205
"Imran"	216
"Ims"	373
"Indahl"	215
"Indergård"	257
"Indrebø"	409
"Ingebretsen"	875
"Ingebrigtsen"	2860
"Ingvaldsen"	1094
"Innvær"	214
"Iqbal"	1215
"Irgens"	474
"Isachsen"	403
"Isaksen"	4705
"Isdahl"	259
"Isdal"	231
"Isene"	205
"Ismail"	1048
"Issa"	314
"Istad"	325
"Ivanov"	237
"Ivanova"	232
"Iversen"	9821
"Jacobsen"	11639
"Jafari"	288
"Jahnsen"	520
"Jahr"	627
"Jahren"	642
"Jakobsen"	10379
"Jama"	845
"Jansen"	3097
"Jansson"	639
"Javed"	246
"Jensen"	22046
"Jensrud"	204
"Jenssen"	4159
"Jentoft"	359
"Jeppesen"	214
"Jerstad"	215
"Jespersen"	415
"Jessen"	412
"Jevnaker"	.
"Jevne"	320
"Joa"	234
"Joakimsen"	270
"Johannesen"	2378
"Johannessen"	12727
"Johansen"	47601
"Johanson"	295
"Johansson"	2432
"Johnsen"	19901
"Johnson"	861
"Johnsrud"	1233
"Johnstad"	.
"Jonassen"	2422
"Jones"	443
"Jonsson"	781
"Jordal"	575
"Jordalen"	230
"Jordan"	236
"Jordet"	384
"Jordheim"	209
"Josdal"	235
"Josefsen"	814
"Jovanovic"	232
"Juell"	237
"Juliussen"	737
"Justad"	250
"Juul"	450
"Juvik"	380
"Jæger"	507
"Jønsson"	260
"Jørgensen"	11061
"Jørstad"	1071
"Jøssang"	280
"Jåsund"	217
"Kaasa"	898
"Kahrs"	202
"Kahsay"	249
"Kaland"	493
"Kaldestad"	298
"Kaldheim"	.
"Kalland"	485
"Kalleberg"	315
"Kallestad"	358
"Kallevik"	558
"Kalstad"	375
"Kalvik"	390
"Kanestrøm"	302
"Kapstad"	218
"Kara"	250
"Karim"	384
"Karimi"	450
"Karlsen"	20258
"Karlson"	271
"Karlsrud"	354
"Karlsson"	1372
"Karlstad"	654
"Karlstrøm"	202
"Karoliussen"	504
"Karstensen"	598
"Kasin"	269
"Kaspersen"	1306
"Kaupang"	245
"Kaur"	1272
"Kausar"	298
"Kavli"	312
"Kaya"	317
"Khalaf"	230
"Khalid"	385
"Khalil"	475
"Khan"	3038
"Kibsgaard"	218
"Kidane"	511
"Kielland"	462
"Kihle"	290
"Kiil"	328
"Kildahl"	230
"Kildal"	608
"Kile"	332
"Kilen"	358
"Killi"	350
"Kim"	305
"Kind"	257
"King"	209
"Kinn"	308
"Kirkeby"	479
"Kirkerud"	263
"Kirkevold"	201
"Kirkhus"	265
"Kirknes"	269
"Kittelsen"	639
"Kittilsen"	606
"Kjeilen"	207
"Kjeldsberg"	262
"Kjeldsen"	518
"Kjellevold"	325
"Kjelsberg"	212
"Kjelsrud"	255
"Kjelstad"	230
"Kjerstad"	411
"Kjesbu"	206
"Kjos"	546
"Kjær"	967
"Kjærland"	210
"Kjærnes"	200
"Kjærstad"	584
"Kjærvik"	267
"Kjøde"	.
"Kjølberg"	235
"Kjølstad"	426
"Kjørstad"	235
"Kjørsvik"	460
"Kjøsnes"	429
"Klakegg"	234
"Klausen"	1593
"Klaussen"	348
"Klavenes"	.
"Klein"	220
"Kleiv"	223
"Kleiveland"	246
"Kleiven"	1204
"Klemetsen"	400
"Klepp"	404
"Kleppa"	261
"Kleppe"	1877
"Klette"	333
"Klev"	259
"Kleveland"	418
"Kleven"	2024
"Klingenberg"	320
"Klokk"	347
"Kloster"	395
"Klungland"	475
"Klungtveit"	207
"Klyve"	200
"Klæboe"	340
"Kløvstad"	260
"Knapstad"	377
"Knarvik"	287
"Knoph"	337
"Knotten"	202
"Knudsen"	5989
"Knutsen"	8250
"Koch"	379
"Kofoed"	212
"Kolberg"	618
"Kolbjørnsen"	272
"Kolle"	227
"Kolltveit"	354
"Kolnes"	514
"Kolseth"	210
"Kolsrud"	322
"Kolstad"	2179
"Kolstø"	334
"Kolås"	315
"Kommedal"	235
"Kongshaug"	329
"Kongsrud"	210
"Kongsvik"	271
"Konradsen"	306
"Koppang"	282
"Kopperud"	785
"Koren"	248
"Korneliussen"	1000
"Korslund"	.
"Korsmo"	519
"Korsnes"	513
"Korsvik"	242
"Korsvold"	283
"Kowalczyk"	298
"Kowalski"	272
"Kraft"	324
"Krane"	363
"Krasniqi"	563
"Kringstad"	287
"Kristensen"	6695
"Kristiansen"	22515
"Kristoffersen"	7578
"Krog"	462
"Krogh"	1555
"Krogsrud"	237
"Krogstad"	1653
"Krogsæter"	256
"Krohn"	491
"Kroken"	768
"Krokstad"	207
"Kronstad"	381
"Krosby"	218
"Kruse"	435
"Krüger"	418
"Kråkenes"	400
"Kulseth"	209
"Kumar"	439
"Kvaal"	395
"Kvaale"	207
"Kvale"	507
"Kvalheim"	1008
"Kvalnes"	274
"Kvalsund"	416
"Kvalsvik"	604
"Kvalvik"	868
"Kvalvåg"	382
"Kvalø"	261
"Kvaløy"	225
"Kvam"	2151
"Kvame"	224
"Kvamme"	2132
"Kvammen"	733
"Kvamsdal"	266
"Kvandal"	248
"Kvande"	346
"Kvarme"	456
"Kvarsnes"	200
"Kvello"	218
"Kvernberg"	309
"Kverneland"	281
"Kvernmo"	361
"Kvia"	229
"Kvien"	225
"Kvilhaug"	332
"Kvinge"	459
"Kvinlaug"	210
"Kvinnesland"	254
"Kvistad"	217
"Kværner"	201
"Kvåle"	862
"Kydland"	273
"Kyllingstad"	350
"Kyvik"	220
"Kårstad"	372
"Kåsa"	401
"Laastad"	229
"Lade"	234
"Lagesen"	207
"Laland"	225
"Lam"	364
"Lamo"	210
"Lampe"	205
"Landa"	479
"Lande"	1379
"Landmark"	440
"Landro"	526
"Landrø"	265
"Landsem"	365
"Landsverk"	499
"Langaas"	249
"Langbråten"	200
"Lange"	1035
"Langedal"	263
"Langeland"	2171
"Langen"	200
"Langerud"	466
"Langfeldt"	265
"Langhelle"	402
"Langholm"	227
"Langli"	323
"Langlo"	325
"Langmo"	315
"Langnes"	469
"Langset"	254
"Langseth"	1093
"Langvik"	296
"Langø"	325
"Langørgen"	227
"Langøy"	338
"Langåker"	352
"Langås"	501
"Larsen"	36229
"Larssen"	1609
"Larsson"	1553
"Lassen"	377
"Laugen"	330
"Lauritsen"	1070
"Lauritzen"	1557
"Laursen"	228
"Lausund"	209
"Lauten"	221
"Lauvrak"	204
"Lauvås"	309
"Lavik"	530
"Le"	1923
"Lea"	744
"Lee"	512
"Lehmann"	225
"Lehn"	248
"Lehne"	256
"Leidland"	240
"Leikanger"	293
"Leiknes"	261
"Leikvoll"	307
"Lein"	589
"Leine"	432
"Leira"	282
"Leirdal"	223
"Leirvik"	743
"Leirvåg"	253
"Leistad"	319
"Leite"	450
"Leithe"	345
"Leivestad"	236
"Leknes"	581
"Lekven"	273
"Lende"	348
"Lenes"	231
"Leonhardsen"	311
"Leren"	261
"Lerstad"	200
"Lervik"	1467
"Lervåg"	411
"Lerøy"	232
"Letnes"	212
"Levang"	260
"Li"	866
"Lia"	1078
"Liabø"	271
"Lian"	2020
"Liberg"	221
"Lid"	1198
"Lidal"	247
"Lie"	7361
"Lied"	481
"Lien"	6385
"Lieng"	278
"Lier"	794
"Liknes"	306
"Liland"	946
"Lilleberg"	228
"Lilleby"	320
"Lillebø"	753
"Lilleeng"	213
"Lilleengen"	202
"Lillegård"	313
"Lillehagen"	204
"Lillejord"	280
"Lilleland"	241
"Lillemo"	245
"Lilleng"	347
"Lillestøl"	341
"Lilletvedt"	279
"Lillevik"	603
"Lilleås"	261
"Lima"	628
"Lind"	2087
"Lindahl"	459
"Lindal"	296
"Lindanger"	261
"Lindberg"	1668
"Linde"	433
"Lindgaard"	225
"Lindgren"	811
"Lindhjem"	324
"Lindholm"	263
"Lindland"	630
"Lindquist"	277
"Lindqvist"	234
"Lindseth"	857
"Lindstad"	813
"Lindstrøm"	551
"Lindvik"	270
"Lindås"	253
"Linge"	287
"Linnerud"	683
"Liseth"	315
"Liu"	475
"Lium"	374
"Liverød"	248
"Ljones"	.
"Ljosland"	229
"Lockert"	232
"Lode"	630
"Loe"	587
"Loen"	213
"Lofthus"	436
"Log"	332
"Lohne"	995
"Lokøy"	260
"Lomeland"	278
"Lona"	207
"Lone"	294
"Longva"	613
"Lopez"	297
"Lorentsen"	976
"Lorentzen"	2848
"Lossius"	368
"Lothe"	893
"Lu"	226
"Ludvigsen"	2683
"Ludviksen"	272
"Lund"	11052
"Lundal"	273
"Lundberg"	1334
"Lundby"	615
"Lunde"	6862
"Lundeby"	240
"Lundekvam"	225
"Lundemo"	388
"Lunden"	652
"Lunder"	453
"Lundestad"	203
"Lundgren"	423
"Lundgård"	220
"Lundh"	220
"Lundquist"	255
"Lura"	368
"Lyche"	215
"Lydersen"	314
"Lygre"	428
"Lyng"	630
"Lyngmo"	280
"Lyngstad"	1116
"Lyngvær"	323
"Lynum"	244
"Lysaker"	402
"Lyse"	314
"Lysen"	.
"Lysgård"	258
"Lyshaug"	236
"Lysne"	211
"Lyssand"	323
"Lystad"	986
"Lysø"	359
"Lægreid"	463
"Lærum"	295
"Løberg"	745
"Løchen"	230
"Lødemel"	229
"Løge"	239
"Løken"	2355
"Løkke"	530
"Løkkeberg"	244
"Løkken"	2039
"Løkås"	377
"Løland"	1185
"Lønning"	590
"Løset"	217
"Løseth"	789
"Løtveit"	241
"Løvaas"	644
"Løvberg"	210
"Løvdal"	771
"Løver"	309
"Løvik"	889
"Løvland"	341
"Løvli"	451
"Løvlie"	258
"Løvlien"	278
"Løvold"	510
"Løvoll"	233
"Løvseth"	531
"Løvstad"	624
"Løvås"	904
"Løyning"	401
"Låstad"	232
"Madland"	401
"Madsen"	3802
"Magerøy"	244
"Magnus"	371
"Magnussen"	3380
"Magnusson"	374
"Mahamed"	628
"Mahammed"	.
"Mahamud"	408
"Mahmood"	809
"Mahmoud"	463
"Mahmud"	208
"Majid"	214
"Malde"	229
"Malik"	1046
"Malin"	200
"Malm"	338
"Malme"	204
"Malmedal"	234
"Malmin"	516
"Malmo"	401
"Malvik"	290
"Mandal"	292
"Mandelid"	222
"Mannes"	340
"Marcussen"	599
"Mardal"	214
"Marken"	372
"Markhus"	541
"Markussen"	1979
"Marstein"	256
"Martens"	287
"Marthinsen"	1721
"Marthinussen"	566
"Martin"	406
"Martinsen"	8305
"Martinussen"	1258
"Marvik"	240
"Marøy"	378
"Mathiassen"	957
"Mathiesen"	1397
"Mathisen"	7338
"Matre"	933
"Maudal"	242
"Maurstad"	266
"Mauseth"	405
"Mazur"	284
"Medhus"	231
"Meek"	289
"Mehari"	328
"Mehl"	239
"Mehlum"	228
"Mehmood"	251
"Mehus"	385
"Meidell"	221
"Meier"	283
"Meisingset"	283
"Meland"	1688
"Melberg"	213
"Melby"	1426
"Melbye"	622
"Melbø"	207
"Melgård"	248
"Melheim"	331
"Melhus"	723
"Meling"	1214
"Mellem"	366
"Mellemstrand"	250
"Mellingen"	396
"Mellum"	303
"Melsom"	264
"Melum"	251
"Melvold"	236
"Mentzoni"	351
"Merkesdal"	249
"Meyer"	1853
"Michael"	203
"Michaelsen"	817
"Michalsen"	388
"Michelsen"	1213
"Midtbø"	1063
"Midtgård"	320
"Midthun"	253
"Midtskogen"	254
"Midttun"	587
"Midttveit"	203
"Midtun"	625
"Mikaelsen"	245
"Mikalsen"	3455
"Mikkelborg"	307
"Mikkelsen"	4167
"Milde"	292
"Miljeteig"	271
"Miller"	331
"Minde"	460
"Minge"	300
"Mir"	223
"Mirza"	331
"Misje"	402
"Misund"	350
"Mittet"	350
"Mjelde"	924
"Mjøen"	445
"Mjølhus"	249
"Mjønes"	201
"Mjøs"	525
"Mjåland"	214
"Mjånes"	210
"Mo"	1594
"Moa"	227
"Moan"	443
"Moberg"	776
"Moe"	6777
"Moen"	10079
"Mogen"	.
"Mogstad"	331
"Mohamad"	370
"Mohamed"	3570
"Mohammad"	1068
"Mohammadi"	795
"Mohammed"	2202
"Mohamoud"	218
"Mohamud"	874
"Mohn"	356
"Moholt"	266
"Moi"	629
"Moksnes"	285
"Moland"	849
"Molde"	267
"Molden"	211
"Moldestad"	356
"Moldskred"	335
"Mollan"	208
"Molland"	406
"Mollestad"	214
"Molnes"	431
"Molstad"	326
"Molteberg"	214
"Moltu"	245
"Molund"	308
"Molvik"	469
"Molvær"	273
"Mong"	277
"Monge"	204
"Mongstad"	249
"Monsen"	2632
"Monstad"	311
"Moradi"	249
"Mork"	1448
"Morken"	944
"Morland"	248
"Mortensen"	3529
"Moseng"	273
"Moss"	457
"Mossige"	241
"Mostad"	292
"Mostue"	226
"Moum"	314
"Mousa"	213
"Muggerud"	204
"Muhammad"	259
"Mundal"	499
"Munir"	223
"Munkvold"	300
"Munthe"	240
"Muren"	283
"Muri"	362
"Muse"	243
"Mustafa"	762
"Mydland"	640
"Myhr"	709
"Myhra"	387
"Myhre"	5748
"Myhren"	797
"Myhrer"	412
"Myhrvold"	572
"Myking"	385
"Mykland"	377
"Myklebost"	224
"Myklebust"	4361
"Müller"	906
"Myran"	550
"Myrdal"	234
"Myre"	384
"Myren"	976
"Myrene"	256
"Myreng"	210
"Myrhaug"	389
"Myrland"	711
"Myrmel"	.
"Myrseth"	661
"Myrstad"	372
"Myrvang"	1903
"Myrvold"	1536
"Myrvoll"	617
"Mæhle"	413
"Mæhlum"	602
"Mæhre"	205
"Mæland"	2044
"Mæle"	244
"Mælen"	.
"Møgster"	333
"Møller"	2241
"Mørch"	798
"Mørck"	204
"Mørk"	1390
"Mørkved"	235
"Mørland"	211
"Måkestad"	.
"Naalsund"	211
"Naas"	293
"Nagy"	244
"Nakken"	663
"Narum"	268
"Narvestad"	227
"Nasir"	203
"Natland"	261
"Natvig"	276
"Natvik"	274
"Natås"	216
"Naustdal"	315
"Nawaz"	246
"Nazari"	327
"Nedrebø"	564
"Nedregård"	244
"Nedrelid"	.
"Negård"	250
"Nekstad"	230
"Nelson"	231
"Nepstad"	.
"Nerdal"	297
"Nereng"	.
"Nergaard"	485
"Nergård"	963
"Nerheim"	269
"Nerhus"	293
"Nerland"	977
"Nerli"	233
"Nervik"	521
"Nes"	1391
"Nesbø"	355
"Nese"	409
"Neset"	487
"Nesheim"	1122
"Nesje"	507
"Nesland"	274
"Ness"	1829
"Nessa"	272
"Nesse"	1828
"Nesset"	830
"Nesvik"	287
"Neteland"	286
"Netland"	709
"Neumann"	228
"Neverdal"	283
"Nevland"	289
"Ngo"	578
"Nguyen"	7266
"Nicolaisen"	1186
"Nicolaysen"	1025
"Nielsen"	6005
"Nikolaisen"	2121
"Nilsen"	33035
"Nilssen"	3306
"Nilsson"	1610
"Nissen"	212
"Nistad"	288
"Njærheim"	249
"Nodeland"	227
"Nodland"	320
"Nome"	245
"Noor"	392
"Noori"	240
"Norberg"	402
"Nord"	508
"Nordahl"	1456
"Nordal"	1148
"Nordang"	268
"Nordanger"	301
"Nordberg"	577
"Nordby"	2498
"Nordbø"	1627
"Nordeide"	421
"Nordeng"	448
"Nordengen"	491
"Norderhaug"	231
"Nordgaard"	260
"Nordgård"	1103
"Nordhagen"	919
"Nordhaug"	398
"Nordheim"	1044
"Nordhus"	486
"Nordland"	264
"Nordli"	1874
"Nordlie"	382
"Nordlien"	263
"Nordlund"	265
"Nordmark"	279
"Nordmo"	408
"Nordnes"	713
"Nordrum"	230
"Nordseth"	539
"Nordskag"	218
"Nordskog"	395
"Nordstrand"	836
"Nordstrøm"	463
"Nordsveen"	295
"Nordtveit"	407
"Nordtømme"	243
"Nordvik"	1496
"Nordås"	572
"Noreng"	229
"Norheim"	1767
"Norland"	401
"Norli"	276
"Norman"	278
"Normann"	1512
"Nornes"	322
"Norum"	1079
"Norvik"	.
"Nowak"	606
"Nur"	375
"Nuur"	272
"Nybakk"	426
"Nybakken"	268
"Nyberg"	935
"Nyborg"	1517
"Nybråten"	337
"Nybø"	759
"Nydal"	440
"Nygaard"	3270
"Nygard"	211
"Nygren"	239
"Nygård"	6785
"Nyhagen"	381
"Nyheim"	1183
"Nyhus"	1463
"Nyhuus"	212
"Nyland"	1137
"Nylund"	815
"Nymark"	317
"Nymo"	571
"Nymoen"	1277
"Nyquist"	304
"Nyrud"	315
"Nyseth"	238
"Nystad"	927
"Nysted"	289
"Nystrand"	213
"Nystrøm"	282
"Nystuen"	531
"Nysveen"	318
"Nysæter"	375
"Nysæther"	280
"Nyvold"	209
"Nyvoll"	442
"Nærland"	490
"Nærø"	242
"Næs"	210
"Næss"	5034
"Nævdal"	356
"Nødland"	213
"Nøkland"	214
"Nøkleby"	324
"Nørstebø"	225
"Nøttveit"	225
"Obrestad"	230
"Odden"	1073
"Odland"	641
"Oen"	337
"Ofstad"	572
"Oftedal"	895
"Ohnstad"	261
"Okkenhaug"	211
"Oksnes"	247
"Okstad"	204
"Olafsen"	1502
"Olaisen"	725
"Oland"	232
"Olaussen"	1720
"Olavesen"	347
"Olden"	331
"Oldervik"	210
"Olesen"	246
"Oliversen"	252
"Olsen"	46632
"Olsnes"	222
"Olsrud"	236
"Olsson"	1281
"Olstad"	1124
"Olsvik"	387
"Olufsen"	822
"Oma"	403
"Omar"	1732
"Omdahl"	208
"Omdal"	853
"Omer"	321
"Omholt"	318
"Omland"	752
"Ommedal"	289
"Ommundsen"	566
"Onarheim"	423
"Onstad"	253
"Opdahl"	541
"Opdal"	639
"Opedal"	504
"Opgård"	228
"Ophaug"	218
"Opheim"	1386
"Ophus"	255
"Opland"	327
"Oppedal"	657
"Oppegaard"	246
"Oppegård"	206
"Opsahl"	1524
"Opsal"	459
"Opseth"	225
"Opstad"	514
"Orre"	245
"Orvik"	217
"Os"	429
"Osa"	.
"Ose"	292
"Osen"	541
"Oshaug"	215
"Oskarsen"	234
"Osland"	537
"Osman"	1444
"Osmani"	217
"Osmundsen"	587
"Osnes"	542
"Oterhals"	243
"Othman"	232
"Otnes"	285
"Ottem"	233
"Otterlei"	548
"Ottersen"	434
"Otterstad"	321
"Ottesen"	2148
"Ottosen"	419
"Overvik"	202
"Overå"	294
"Ovesen"	848
"Owren"	215
"Paasche"	223
"Palm"	325
"Parveen"	271
"Paulsen"	8143
"Paulsrud"	347
"Paus"	253
"Pedersen"	33771
"Perez"	.
"Persen"	724
"Persson"	1104
"Petersen"	2048
"Petrovic"	227
"Pettersen"	19176
"Petterson"	572
"Pettersson"	592
"Pham"	1366
"Phan"	563
"Pihl"	236
"Pilskog"	241
"Pladsen"	209
"Plassen"	289
"Pleym"	225
"Polden"	208
"Pollestad"	379
"Poulsen"	462
"Prestegård"	315
"Presthus"	245
"Prytz"	405
"Qureshi"	229
"Qvale"	216
"Raa"	259
"Raaen"	456
"Raastad"	301
"Rabben"	693
"Rafoss"	280
"Rage"	210
"Rahimi"	451
"Rahman"	299
"Rahmani"	202
"Raja"	427
"Raknes"	541
"Rakvåg"	225
"Ramadani"	243
"Ramberg"	1108
"Ramfjord"	211
"Ramsdal"	272
"Ramsland"	352
"Ramstad"	1403
"Ramsvik"	364
"Ramsøy"	.
"Rana"	337
"Randen"	612
"Ranheim"	372
"Ranum"	248
"Rasch"	513
"Rashid"	630
"Rasmussen"	7022
"Ravn"	376
"Ravndal"	823
"Ravnås"	263
"Raza"	306
"Ree"	681
"Reed"	352
"Refsdal"	298
"Refseth"	229
"Refsland"	235
"Refsnes"	687
"Refvik"	360
"Rege"	200
"Rehman"	312
"Reiersen"	983
"Reigstad"	535
"Reime"	502
"Rein"	369
"Reinertsen"	869
"Reinholdtsen"	393
"Reistad"	630
"Reitan"	1717
"Reite"	443
"Reiten"	593
"Rekdal"	641
"Rekkedal"	233
"Rekstad"	298
"Reksten"	308
"Remen"	200
"Remme"	557
"Remmen"	236
"Remøy"	440
"Reppe"	363
"Reppen"	367
"Repstad"	283
"Resell"	213
"Ressem"	209
"Revheim"	493
"Reyes"	300
"Rezai"	287
"Rian"	497
"Riaz"	221
"Ribe"	446
"Richardsen"	733
"Richter"	206
"Riis"	753
"Riise"	1691
"Riiser"	281
"Rikardsen"	211
"Rikstad"	243
"Rimstad"	245
"Rindal"	515
"Rinde"	390
"Rinden"	208
"Ring"	305
"Ringdal"	664
"Ringen"	671
"Ringheim"	281
"Ringnes"	286
"Ringstad"	1471
"Ringvold"	293
"Risa"	745
"Risan"	527
"Risberg"	275
"Risdal"	352
"Rise"	720
"Riseth"	200
"Rishaug"	286
"Risnes"	717
"Rist"	287
"Risvik"	373
"Risøy"	243
"Roald"	660
"Robberstad"	222
"Roberg"	210
"Roberts"	203
"Robertsen"	1298
"Robstad"	293
"Rodal"	219
"Rodriguez"	225
"Roen"	259
"Rognan"	217
"Rogne"	1161
"Rognerud"	379
"Rognes"	266
"Rognli"	287
"Rognlien"	389
"Rognmo"	312
"Rognstad"	616
"Rogstad"	627
"Rohde"	215
"Rokne"	207
"Rokstad"	363
"Roksvåg"	296
"Roland"	733
"Rolfsen"	401
"Rolfsnes"	205
"Rolland"	620
"Rolstad"	392
"Rom"	.
"Romsdal"	215
"Rong"	455
"Rongved"	233
"Roos"	334
"Rosenberg"	481
"Rosenlund"	507
"Rosenvinge"	319
"Rosland"	734
"Rosnes"	389
"Ross"	273
"Rossebø"	249
"Rosseland"	672
"Rossland"	226
"Rostad"	836
"Rosvold"	520
"Rosvoll"	209
"Rotevatn"	202
"Roth"	327
"Rovik"	264
"Rud"	356
"Rudi"	581
"Rudolfsen"	209
"Rue"	244
"Rugland"	369
"Rui"	374
"Runde"	283
"Rustad"	1542
"Rustand"	258
"Rusten"	902
"Ruud"	4539
"Ryan"	332
"Rydland"	563
"Rydningen"	477
"Rye"	685
"Ryen"	900
"Ryeng"	269
"Rygg"	825
"Rygh"	935
"Rykkje"	230
"Ryland"	316
"Rynning"	217
"Rystad"	260
"Ræstad"	219
"Røberg"	385
"Rød"	1473
"Rødal"	445
"Rødland"	683
"Rødsand"	204
"Rødseth"	430
"Rødsjø"	326
"Røe"	796
"Røed"	1865
"Røen"	538
"Røgeberg"	253
"Røhne"	220
"Røine"	310
"Røise"	264
"Røisland"	223
"Røkenes"	260
"Røkke"	460
"Rømo"	265
"Røneid"	205
"Rønhovde"	204
"Rønne"	270
"Rønneberg"	676
"Rønnestad"	297
"Rønning"	5169
"Rønningen"	2672
"Røren"	498
"Rørstad"	242
"Rørtveit"	261
"Rørvik"	1261
"Røsand"	399
"Røssland"	415
"Røst"	268
"Røstad"	863
"Røste"	503
"Røsten"	208
"Røsvik"	320
"Røv"	218
"Røvik"	408
"Røyland"	243
"Røyrvik"	235
"Røyset"	328
"Røysland"	268
"Rånes"	272
"Saastad"	279
"Saeed"	410
"Safi"	462
"Saga"	381
"Sagbakken"	262
"Sagen"	1155
"Sagmo"	320
"Sagstad"	418
"Sagstuen"	247
"Said"	734
"Sakariassen"	286
"Sakshaug"	383
"Salamonsen"	385
"Salberg"	248
"Salbu"	212
"Saleem"	264
"Saleh"	658
"Salih"	364
"Salim"	219
"Salomonsen"	711
"Salte"	887
"Saltnes"	335
"Salvesen"	1534
"Samdal"	376
"Samnøy"	215
"Samuelsen"	2703
"Sand"	2505
"Sandaker"	378
"Sandal"	908
"Sandanger"	395
"Sandbakk"	314
"Sandbakken"	444
"Sandberg"	2292
"Sandbæk"	284
"Sande"	2269
"Sanden"	778
"Sander"	275
"Sandersen"	285
"Sandhåland"	216
"Sandland"	219
"Sandli"	212
"Sandmo"	536
"Sandnes"	2737
"Sandsmark"	294
"Sandstad"	491
"Sandtorv"	304
"Sandum"	369
"Sandve"	304
"Sandven"	535
"Sandvik"	5255
"Sandvold"	645
"Sandvoll"	273
"Sandvær"	229
"Sandø"	350
"Sandøy"	692
"Sangolt"	353
"Sanne"	479
"Sannes"	765
"Santos"	208
"Sara"	550
"Sarwar"	235
"Saue"	305
"Saur"	317
"Schanche"	240
"Schanke"	222
"Schau"	466
"Schei"	1098
"Scheie"	262
"Schie"	229
"Schjelderup"	511
"Schjerven"	217
"Schjetne"	338
"Schjølberg"	739
"Schmidt"	857
"Schneider"	219
"Schou"	309
"Schrøder"	582
"Schultz"	463
"Schøyen"	395
"Scott"	225
"Seeberg"	226
"Seglem"	378
"Seierstad"	341
"Seim"	1190
"Sekkingstad"	218
"Sekse"	294
"Seland"	536
"Seldal"	225
"Sele"	581
"Seljeseth"	284
"Selle"	231
"Sellevold"	241
"Sellæg"	247
"Selmer"	358
"Selnes"	956
"Selstad"	234
"Selvik"	552
"Selvåg"	307
"Sem"	387
"Semb"	539
"Seppola"	253
"Serigstad"	303
"Sevaldsen"	228
"Severinsen"	748
"Shah"	622
"Shahzad"	210
"Shala"	359
"Sharif"	556
"Sharifi"	205
"Sharma"	907
"Sheikh"	368
"Sigurdsen"	373
"Sigvartsen"	312
"Sikveland"	275
"Silden"	288
"Silseth"	379
"Silva"	251
"Simensen"	1744
"Simonsen"	5539
"Singh"	1803
"Singstad"	332
"Sinnes"	270
"Sirevåg"	381
"Sirnes"	308
"Sivertsen"	5563
"Sjaastad"	218
"Sjo"	410
"Sjursen"	918
"Sjøberg"	479
"Sjøblom"	.
"Sjøen"	274
"Sjøgren"	229
"Sjøli"	423
"Sjølie"	468
"Sjøstrøm"	.
"Sjøthun"	236
"Sjøvold"	387
"Sjøvoll"	236
"Sjåstad"	435
"Sjåvik"	236
"Skaar"	1845
"Skaare"	235
"Skadberg"	270
"Skage"	432
"Skagen"	643
"Skagestad"	235
"Skailand"	217
"Skansen"	247
"Skar"	1183
"Skarbø"	301
"Skare"	805
"Skaret"	720
"Skarshaug"	202
"Skarstad"	256
"Skarstein"	484
"Skarsvåg"	218
"Skau"	551
"Skauen"	301
"Skaug"	1645
"Skauge"	532
"Skaugen"	269
"Skavhaug"	246
"Skei"	407
"Skeide"	448
"Skeie"	1381
"Skevik"	241
"Skille"	219
"Skinnes"	246
"Skinstad"	286
"Skistad"	297
"Skjeggestad"	209
"Skjelbred"	615
"Skjelstad"	402
"Skjelvik"	248
"Skjerdal"	208
"Skjerping"	212
"Skjerve"	548
"Skjerven"	398
"Skjervheim"	203
"Skjervold"	248
"Skjetne"	342
"Skjevik"	243
"Skjold"	636
"Skjolden"	238
"Skjong"	304
"Skjæret"	286
"Skjærstad"	238
"Skjærvik"	327
"Skjæveland"	1183
"Skjølberg"	234
"Skjønberg"	227
"Skjønhaug"	451
"Skjørestad"	328
"Skog"	987
"Skoge"	306
"Skogen"	1392
"Skogheim"	837
"Skogland"	379
"Skogli"	660
"Skoglund"	2114
"Skogly"	434
"Skogmo"	436
"Skogseth"	383
"Skogsrud"	246
"Skogstad"	1209
"Skogvold"	263
"Skogvoll"	221
"Skomedal"	227
"Skorpen"	463
"Skorstad"	366
"Skotnes"	291
"Skotte"	232
"Skovly"	270
"Skram"	255
"Skramstad"	253
"Skrede"	607
"Skretteberg"	260
"Skretting"	917
"Skrettingland"	202
"Skråmestø"	270
"Skuland"	220
"Skullerud"	308
"Skulstad"	593
"Skurdal"	211
"Skutle"	201
"Skøien"	218
"Skålevik"	239
"Skår"	1403
"Skårdal"	257
"Skåre"	264
"Skårland"	226
"Sleire"	279
"Sletner"	303
"Sletta"	372
"Slette"	264
"Slettebø"	442
"Slettedal"	206
"Sletten"	2065
"Slettum"	233
