"fornavn"	"Personer 2021"
"Gro"	7914
"Gry"	4310
"Gudny"	309
"Gudrun"	1992
"Gudveig"	276
"Gun"	392
"Gunda"	212
"Gunhild"	3065
"Gunlaug"	.
"Gunn"	9618
"Gunnbjørg"	302
"Gunnhild"	1078
"Gunnlaug"	341
"Gunnvor"	471
"Gunvor"	3151
"Guri"	2168
"Guro"	4172
"Gyda"	385
"Gøril"	953
"Hafsa"	254
"Hala"	235
"Haldis"	1091
"Halima"	352
"Halldis"	477
"Hamdi"	.
"Hana"	453
"Hanan"	341
"Hanna"	7598
"Hannah"	3792
"Hanne"	15779
"Harriet"	646
"Hatice"	261
"Hedda"	6280
"Hedvig"	1552
"Hege"	13041
"Heidi"	15871
"Helen"	2621
"Helena"	2408
"Helene"	11025
"Helga"	3169
"Helin"	204
"Helle"	2954
"Hennie"	972
"Henny"	1429
"Henriette"	5027
"Henrikke"	317
"Herborg"	293
"Herdis"	642
"Hermine"	1326
"Hiba"	231
"Hild"	299
"Hilda"	595
"Hilde"	18284
"Hildegunn"	1854
"Hildur"	933
"Hjørdis"	1197
"Hodan"	202
"Hong"	222
"Huda"	211
"Hulda"	248
"Iben"	2247
"Ida"	20345
"Idun"	679
"Idunn"	447
"Ieva"	345
"Ilona"	373
"Iman"	610
"Ina"	3395
"Ine"	2367
"Ines"	373
"Inga"	2843
"Inge"	229
"Ingebjørg"	3008
"Ingeborg"	6800
"Ingelin"	456
"Inger"	30530
"Inger-Johanne"	.
"Inger-Lise"	.
"Inger-Marie"	.
"Ingerid"	478
"Ingfrid"	467
"Inghild"	243
"Ingjerd"	1176
"Ingri"	417
"Ingrid"	24492
"Ingrida"	.
"Ingun"	600
"Ingunn"	5858
"Ingvil"	254
"Ingvild"	6354
"Ingvill"	899
"Iqra"	230
"Iren"	1079
"Irena"	355
"Irene"	7604
"Irina"	1051
"Iris"	1869
"Irma"	444
"Irmelin"	478
"Iryna"	215
"Isa"	303
"Isabel"	1736
"Isabell"	1627
"Isabella"	2019
"Isabelle"	1090
"Iselin"	3025
"Ivana"	359
"Iwona"	569
"Izabela"	512
"Jacqueline"	281
"Jamila"	252
"Jana"	559
"Jane"	2394
"Janet"	419
"Janicke"	557
"Janina"	.
"Janita"	257
"Janne"	7535
"Janniche"	207
"Jannicke"	1971
"Jannike"	667
"Jasmin"	542
"Jasmina"	256
"Jasmine"	280
"Jeanett"	818
"Jeanette"	3951
"Jelena"	617
"Jenni"	220
"Jennie"	404
"Jennifer"	812
"Jenny"	7663
"Jessica"	1070
"Jette"	.
"Jill"	596
"Joan"	203
"Joanna"	1360
"Jofrid"	376
"Johanna"	2639
"Johanne"	5200
"Jolanta"	679
"Jorid"	888
"Jorun"	2658
"Jorunn"	9277
"Josefine"	2454
"Josephine"	491
"Judit"	248
"Judith"	1467
"Julia"	4532
"Juliana"	229
"Juliane"	482
"Julianne"	768
"Julie"	13569
"June"	2778
"Juni"	440
"Jurgita"	305
"Justyna"	692
"Kaia"	1240
"Kaisa"	578
"Kaja"	4339
"Kajsa"	506
"Kamila"	525
"Kamilla"	2318
"Karen"	6160
"Kari"	25139
"Kari-Anne"	.
"Karianne"	2600
"Karin"	11361
"Karina"	3057
"Karine"	911
"Karla"	329
"Karolina"	1359
"Karoline"	7365
"Katarina"	1106
"Katarzyna"	1840
"Kate"	1298
"Katharina"	723
"Kathe"	335
"Katherine"	243
"Kathinka"	264
"Kathrin"	252
"Kathrine"	3129
"Katinka"	396
"Katja"	546
"Katrin"	521
"Katrina"	223
"Katrine"	4668
"Kelly"	222
"Kerstin"	458
"Khadija"	523
"Kim"	649
"Kine"	4293
"Kinga"	375
"Kira"	227
"Kirsten"	7014
"Kirsti"	4231
"Kitty"	497
"Kjellaug"	1591
"Kjellfrid"	386
"Kjellrun"	395
"Kjersti"	7466
"Kjerstin"	640
"Klara"	2124
"Klaudia"	460
"Kornelia"	581
"Kristel"	223
"Kristi"	605
"Kristiane"	550
"Kristin"	17083
"Kristina"	4607
"Kristine"	11216
"Krystyna"	240
"Laila"	10510
"Lajla"	235
"Lana"	476
"Lara"	590
"Larisa"	231
"Laura"	2157
"Lea"	2177
"Leah"	4329
"Leikny"	200
"Leila"	474
"Lena"	6871
"Lene"	9974
"Leni"	291
"Leona"	499
"Leonora"	840
"Leyla"	279
"Liana"	285
"Lidia"	353
"Lilian"	309
"Liliana"	354
"Lilja"	731
"Lill"	3965
"Lilli"	674
"Lillian"	5719
"Lilly"	3471
"Lily"	683
"Lin"	505
"Lina"	3102
"Linda"	15197
"Lindis"	260
"Line"	10233
"Linea"	790
"Linn"	9421
"Linnea"	4884
"Lisa"	5437
"Lisbet"	784
"Lisbeth"	5651
"Lise"	9100
"Liss"	811
"Liv"	22706
"Liva"	557
"Live"	3534
"Livia"	276
"Liz"	271
"Liza"	232
"Lone"	1498
"Lotta"	709
"Lotte"	2106
"Louise"	2068
"Lovise"	904
"Lucia"	361
"Lucy"	335
"Luna"	1328
"Lydia"	804
"Lykke"	1141
"Ma"	320
"Madeleine"	2171
"Madelen"	1954
"Madelene"	259
"Magda"	319
"Magdalena"	1746
"Magna"	210
"Magnhild"	2285
"Magni"	338
"Magny"	347
"Mai"	2059
"Mai-Britt"	.
"Maia"	1078
"Maiken"	2525
"Maj"	748
"Maja"	6070
"Malak"	228
"Malena"	292
"Malene"	2763
"Malgorzata"	1156
"Mali"	960
"Malika"	217
"Malin"	10088
"Maren"	6781
"Margaret"	996
"Margareth"	1007
"Margarita"	286
"Margit"	2270
"Margot"	893
"Margrete"	1219
"Margrethe"	2702
"Margun"	281
"Margunn"	666
"Mari"	11659
"Mari-Ann"	.
"Maria"	20151
"Mariam"	1001
"Marian"	512
"Mariana"	309
"Mariann"	3168
"Marianne"	17698
"Marie"	12779
"Mariel"	341
"Mariell"	1243
"Marielle"	949
"Marija"	467
"Marina"	1520
"Marion"	1962
"Marit"	24181
"Marita"	4472
"Marlen"	423
"Marlene"	1117
"Marry"	245
"Marta"	2815
"Marte"	8338
"Martha"	2098
"Marthe"	5485
"Marthine"	296
"Martina"	514
"Martine"	7605
"Martyna"	398
"Marwa"	314
"Mary"	3702
"Mary-Ann"	.
"Maryam"	1054
"Maryan"	308
"Marzena"	336
"Mathea"	2681
"Mathilda"	245
"Mathilde"	5470
"Matilda"	468
"Matilde"	1494
"Maud"	508
"May"	11509
"May-Britt"	.
"May-Liss"	.
"Maya"	1816
"Maylen"	.
"Medina"	225
"Melanie"	341
"Melina"	592
"Melinda"	258
"Melissa"	1172
"Merete"	5058
"Merethe"	2442
"Mette"	9709
"Mia"	7679
"Michaela"	235
"Michelle"	2445
"Mie"	2031
"Mila"	586
"Mildrid"	584
"Milena"	504
"Milla"	1274
"Mille"	2431
"Mimmi"	.
"Mina"	4450
"Mira"	1072
"Miranda"	225
"Miriam"	3160
"Mirjam"	488
"Molly"	452
"Mona"	12647
"Monica"	11817
"Monika"	4054
"Muna"	357
"My"	379
"Møyfrid"	305
"Målfrid"	1717
"Nada"	280
"Nadia"	1385
"Nadine"	311
"Nadja"	288
"Naima"	289
"Najma"	229
"Nancy"	865
"Nanna"	638
"Naomi"	662
"Natalia"	2105
"Natalie"	2128
"Natasha"	299
"Nathalie"	2174
"Nellie"	246
"Nelly"	1085
"Ngoc"	300
"Nicole"	688
"Nicoline"	734
"Nikola"	260
"Nikoline"	721
"Nina"	18123
"Ninni"	337
"Noor"	521
"Nora"	11949
"Norah"	471
"Norma"	221
"Norunn"	820
"Nour"	314
"Nova"	412
"Oda"	6627
"Oddbjørg"	1336
"Oddfrid"	.
"Oddlaug"	559
"Oddny"	1553
"Oddrun"	1465
"Oddveig"	1087
"Oksana"	316
"Olaug"	2476
"Olava"	316
"Olea"	501
"Olena"	287
"Olga"	2446
"Oline"	2018
"Olivia"	4205
"Oliwia"	384
"Othilie"	555
"Otilie"	258
"Patricia"	611
"Patrycja"	532
"Paula"	954
"Paulina"	901
"Pauline"	546
"Peggy"	293
"Pernille"	4392
"Petra"	1269
"Phuong"	231
"Pia"	3654
"Rabia"	233
"Rachel"	662
"Ragna"	1185
"Ragne"	282
"Ragnhild"	12071
"Ragni"	239
"Rahel"	221
"Rahma"	249
"Rakel"	1577
"Ramona"	495
"Rana"	215
"Randi"	15305
"Rania"	265
"Rannveig"	1066
"Ranveig"	1269
"Rasa"	336
"Rebecca"	2403
"Rebecka"	343
"Rebekka"	2153
"Regina"	430
"Regine"	888
"Reidun"	8703
